,country_currency_desc,exchange_rate,record_date
0,AFGHANISTAN-AFGHANI,57.34,2015-03-31
1,AFGHANISTAN-AFGHANI,60.26,2015-06-30
2,AFGHANISTAN-AFGHANI,63.8,2015-09-30
3,AFGHANISTAN-AFGHANI,68.45,2016-03-31
4,AFGHANISTAN-AFGHANI,68.22,2016-06-30
5,AFGHANISTAN-AFGHANI,67.9,2015-12-31
6,AFGHANISTAN-AFGHANI,69.32,2017-12-31
7,AFGHANISTAN-AFGHANI,65.15,2017-09-30
8,AFGHANISTAN-AFGHANI,67.95,2017-06-30
9,AFGHANISTAN-AFGHANI,65.35,2016-09-30
10,AFGHANISTAN-AFGHANI,74.576,2018-12-31
11,AFGHANISTAN-AFGHANI,66.5,2016-12-31
12,AFGHANISTAN-AFGHANI,71.55,2018-06-30
13,AFGHANISTAN-AFGHANI,75.1,2018-09-30
14,AFGHANISTAN-AFGHANI,69.0,2018-03-31
15,AFGHANISTAN-AFGHANI,77.53,2019-09-30
16,AFGHANISTAN-AFGHANI,74.78,2019-03-31
17,AFGHANISTAN-AFGHANI,79.912,2019-06-30
18,AFGHANISTAN-AFGHANI,67.55,2017-03-31
19,ALBANIA-LEK,130.25,2015-03-31
20,ALBANIA-LEK,125.03,2015-06-30
21,ALBANIA-LEK,123.99,2015-09-30
22,ALBANIA-LEK,121.35,2016-03-31
23,ALBANIA-LEK,123.16,2016-06-30
24,ALBANIA-LEK,125.54,2015-12-31
25,ALBANIA-LEK,110.6,2017-12-31
26,ALBANIA-LEK,113.15,2017-09-30
27,ALBANIA-LEK,116.0,2017-06-30
28,ALBANIA-LEK,122.77,2016-09-30
29,ALBANIA-LEK,107.05,2018-12-31
30,ALBANIA-LEK,128.25,2016-12-31
31,ALBANIA-LEK,107.75,2018-06-30
32,ALBANIA-LEK,108.9,2018-09-30
33,ALBANIA-LEK,105.35,2018-03-31
34,ALBANIA-LEK,111.35,2019-09-30
35,ALBANIA-LEK,111.24,2019-03-31
36,ALBANIA-LEK,107.6,2019-06-30
37,ALBANIA-LEK,126.75,2017-03-31
38,ALGERIA-DINAR,97.38,2015-03-31
39,ALGERIA-DINAR,98.592,2015-06-30
